"Amor_es_mas_laberinto_1" "Amor_es_mas_laberinto_2" "Amor_es_mas_laberinto_3" "Amor_es_mas_laberinto_4" "Amor_es_mas_laberinto_5" "Amor_es_mas_laberinto_6" "Amor_es_mas_laberinto_7" "Amor_es_mas_laberinto_8" "Amor_es_mas_laberinto_9" "Amor_es_mas_laberinto_10" "Amor_es_mas_laberinto_11" "Amor_es_mas_laberinto_12" "Amor_es_mas_laberinto_13" "Amor_es_mas_laberinto_14" "Amor_es_mas_laberinto_15" "Amor_es_mas_laberinto_16" "Amor_es_mas_laberinto_17" "Amor_es_mas_laberinto_18" "Amor_es_mas_laberinto_19" "Amor_es_mas_laberinto_20" "Amor_es_mas_laberinto_21" "Amor_es_mas_laberinto_22" "Amor_es_mas_laberinto_23" "Amor_es_mas_laberinto_24" "Amor_es_mas_laberinto_25" "Amor_es_mas_laberinto_26" "Amor_es_mas_laberinto_27" "Amor_es_mas_laberinto_28" "Amor_es_mas_laberinto_29" "Amor_es_mas_laberinto_30" "Amor_es_mas_laberinto_31" "Amor_es_mas_laberinto_32" "Amor_es_mas_laberinto_33" "Amor_es_mas_laberinto_34"
"vida" 0.2 0.2 0.2 0.1 0.1 0.3 0.7 0.7 0.2 0.1 0.1 0.2 0.4 0.3 0.1 0 0 0.2 0.2 0 0.2 0.2 0 0 0.1 0.6 0.8 0.6 0.5 0.3 0.1 0.7 1 0.6
"ay" 0.1 0.1 0.1 0.1 0 0 0.1 0.2 0.2 0.1 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0.1 0.2 0.1 0 0 0 0.2 0.3 0.2 0.2
"honor" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0.2 0.2 0.2 0.7 0.5
"tiene" 0.2 0.1 0 0.1 0.2 0.1 0.1 0.1 0 0.1 0.3 0.5 0.3 0.1 0.2 0.1 0 0.1 0.1 0 0.1 0.3 0.4 0.2 0 0 0 0.1 0.2 0.2 0.2 0.1 0 0.2
"aun" 0.2 0.2 0.3 0.2 0.1 0 0.2 0.3 0.2 0.1 0 0 0.1 0.1 0.1 0.1 0 0 0.1 0.1 0 0 0 0.1 0.1 0.1 0.2 0.2 0.2 0.3 0.2 0 0 0.1
"cielo" 0.1 0.1 0.2 0.3 0.3 0.2 0.1 0.1 0.1 0.1 0 0 0.1 0.1 0.1 0.1 0 0 0 0 0 0 0.1 0.1 0.1 0.1 0 0 0 0.1 0.2 0.2 0.1 0
"era" 0 0 0.1 0.1 0.3 0.3 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0.3
"eso" 0.1 0.2 0.1 0 0 0.1 0.1 0.2 0.2 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0
"fortuna" 0.6 0.3 0.2 0.2 0.1 0 0.1 0.1 0 0 0 0 0 0 0.2 0.5 0.4 0.3 0.2 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0
"han" 0.1 0.2 0.1 0 0 0.1 0.1 0.1 0.1 0 0.1 0.2 0.1 0.1 0.3 0.2 0.3 0.4 0.1 0 0.2 0.3 0.1 0.1 0.1 0 0 0 0.1 0.1 0 0.1 0.3 0.3
"puede" 0.2 0.1 0.2 0.3 0.2 0 0.2 0.3 0.2 0.1 0 0 0.1 0.3 0.2 0 0 0.1 0.1 0 0 0.1 0.5 0.6 0.2 0.2 0.4 0.5 0.3 0.4 0.5 0.2 0.1 0
"amante" 0 0 0 0 0 0.1 0.1 0 0.5 0.7 0.2 0 0.3 0.3 0 0 0.1 0.2 0.1 0.1 0.3 0.4 0.2 0.1 0.1 0 0 0.2 0.4 0.4 0.2 0 0.1 0.1
"atención" 0.2 0 0 0 0 0.1 0.1 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0.1 0.1 0 0 0 0 0.1
"caso" 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0.1 0.1 0 0 0 0 0 0 0.1 0.1 0 0 0.1 0.1 0 0 0 0 0.1 0.1
"celia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"dos" 0 0 0.1 0.1 0.1 0.1 0 0 0 0 0.1 0.2 0.1 0.1 0.1 0 0 0 0 0 0 0.2 0.3 0.1 0.2 0.2 0.2 0.2 0 0 0.2 0.7 0.5 0
"mejor" 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0.2 0.3 0.2 0.1 0 0.1 0.2 0.2 0.3 0.2 0.1 0.2 0.1 0.1 0.1 0 0
"sois" 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.3 0.1 0 0.1 0.2 0.1 0.1 0.1 0
"antes" 0 0.1 0.2 0.2 0.1 0.2 0.3 0.1 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0.1 0.2 0.1 0.1 0.1 0 0 0.2 0.4 0.2 0 0
"luego" 0 0 0.1 0.2 0.3 0.2 0 0 0.2 0.2 0 0.1 0.1 0 0.2 0.2 0 0.1 0.1 0 0.1 0.1 0 0 0 0 0 0 0.1 0.1 0.1 0.3 0.2 0.1
"mérito" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0
"oh" 0.2 0.1 0 0 0.1 0.2 0.3 0.2 0 0 0 0 0 0 0.4 0.4 0 0 0.3 0.4 0.4 0.3 0.1 0.2 0.1 0 0 0 0 0.1 0.1 0.2 0.2 0
"quiere" 0 0 0 0.1 0.2 0.3 0.4 0.2 0.1 0.2 0.1 0 0.1 0.3 0.2 0 0 0 0 0 0 0.1 0.2 0.3 0.2 0 0 0.1 0.2 0.1 0 0 0 0
"razón" 0.1 0.1 0.1 0.3 0.2 0 0 0 0 0.2 0.2 0 0.1 0.1 0 0 0.3 0.4 0.2 0.1 0 0 0 0 0 0.2 0.2 0 0.1 0.1 0 0 0 0.3
"sé" 0.1 0.1 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0 0.1 0.1 0 0 0 0 0.2 0.2 0.2 0.2 0.1 0.1 0 0.2 0.4 0.2 0.1 0.1 0 0
"siempre" 0 0 0 0 0 0.1 0.2 0.1 0 0 0.1 0.2 0.1 0 0.2 0.3 0.2 0.1 0.1 0.1 0.1 0.2 0.1 0.1 0.1 0 0 0.1 0.2 0.3 0.2 0 0 0
"venida" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.2 0 0 0 0 0 0 0 0 0 0 0 0
"vive" 0 0 0.1 0.1 0 0.1 0.2 0.1 0 0 0 0 0 0 0.1 0.2 0.1 0.1 0.1 0 0 0 0 0.1 0.1 0 0 0 0 0 0.1 0.1 0 0
"donde" 0.1 0.1 0.3 0.3 0.1 0 0 0 0 0.1 0.2 0.4 0.4 0.2 0.1 0 0 0 0.2 0.2 0 0 0 0.1 0.1 0.1 0.1 0 0 0 0 0 0 0
"entre" 0 0.1 0.1 0.4 0.4 0 0.1 0.1 0 0.1 0.1 0 0.1 0.2 0.1 0 0 0 0 0.1 0.1 0.1 0.1 0 0.1 0.1 0.1 0.1 0.1 0.1 0 0 0 0
"fin" 0 0 0 0 0 0 0 0 0 0.1 0.2 0.2 0.1 0 0 0 0.1 0.1 0 0 0 0 0.1 0.2 0.1 0 0.1 0.1 0 0.1 0.1 0 0 0
"grande" 0.1 0.1 0.1 0.2 0.2 0.1 0 0 0 0.1 0.2 0.3 0.3 0.2 0.3 0.2 0.1 0.1 0 0 0 0.2 0.2 0 0 0 0 0.1 0.1 0.1 0.1 0 0.1 0.2
"misma" 0 0 0 0 0 0 0 0.1 0.1 0 0 0.1 0.1 0.1 0.1 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0.1 0.1 0 0.1 0.2
"otra" 0.1 0.1 0.4 0.3 0 0 0 0 0.1 0.2 0.1 0 0.1 0.1 0.1 0.1 0 0 0 0 0.1 0.1 0.1 0.2 0.3 0.3 0.3 0.3 0.1 0 0 0 0 0
"cielos" 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0.1 0.2 0.2 0.4 0.4 0.1 0 0.1 0.3 0.3 0.3 0.3 0.2
"favor" 0.1 0.1 0.1 0.1 0 0 0.1 0.1 0 0 0 0 0 0.3 0.4 0.3 0.5 0.3 0 0 0.1 0.1 0 0 0 0 0.1 0.1 0 0 0 0 0 0
"nos" 0.2 0.2 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0.1 0.1 0.1 0.1 0 0 0 0.2 0.2 0 0 0 0.1 0.1 0.1 0.2 0.2 0.2 0.2 0.1
"voy" 0 0 0 0 0 0.1 0.4 0.3 0 0 0 0 0 0 0.1 0.1 0 0.1 0.1 0.1 0.1 0 0.2 0.2 0 0 0 0 0.2 0.2 0.3 0.3 0 0
"diligencia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0.1 0.1 0 0 0 0
"mismo" 0.2 0.1 0.1 0.3 0.3 0.2 0.1 0 0 0.2 0.2 0.2 0.2 0 0 0 0 0 0 0.2 0.3 0.4 0.3 0.1 0.2 0.3 0.2 0 0 0 0.1 0.1 0 0.2
"pecho" 0.3 0.3 0 0 0.1 0.1 0.1 0.1 0 0 0 0 0.2 0.2 0 0 0.1 0.1 0.2 0.3 0.1 0 0 0 0 0 0 0 0.1 0.1 0 0.1 0.2 0.1
"silbos" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"tener" 0.1 0.3 0.3 0.2 0.1 0 0.2 0.3 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0 0 0 0
"viene" 0 0 0.1 0.1 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0.2 0.2 0.1 0.1 0 0 0.1 0.1 0 0 0 0.1
"causa" 0.4 0.4 0.1 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0.1 0.2 0.1 0.1 0.1 0 0
"fuera" 0.1 0.2 0.1 0 0 0 0 0 0.1 0.2 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 0.1 0.1 0 0 0.1 0.1 0.1 0.1 0.4 0.5 0.2 0.1 0.1 0.1 0.1 0.1
"fuerza" 0 0 0 0 0 0 0.1 0.2 0.1 0.1 0.1 0 0.1 0.1 0 0 0 0.1 0.1 0 0 0.1 0.1 0.1 0.1 0 0 0 0 0 0 0 0 0
"hasta" 0 0.2 0.2 0 0.1 0.1 0 0 0 0 0.1 0.1 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0.2 0.3
"hermana" 0 0 0 0 0 0 0 0 0.2 0.3 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.2 0.1 0 0.1
"premio" 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1
"siendo" 0 0 0 0.3 0.6 0.3 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0.1 0.1 0 0 0.1 0.1 0 0 0 0.1 0.2 0.1 0 0 0 0 0.2
"castaño" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cuál" 0.2 0.2 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0
"dar" 0.1 0 0 0 0.1 0.1 0.3 0.3 0 0 0 0 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0.1 0.1 0.2 0.4 0.2 0.2 0.2 0 0 0 0.2
"gusto" 0.3 0.6 0.3 0 0.1 0.1 0.1 0.1 0 0.1 0.1 0 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0 0 0.1 0.2 0.2 0.1 0.2 0.2 0 0 0 0 0 0
"mayor" 0 0 0 0 0.2 0.3 0.1 0 0 0.1 0.3 0.2 0 0 0.1 0.1 0 0.2 0.2 0 0 0 0 0 0 0 0.2 0.2 0 0 0 0 0 0
"mucho" 0.1 0.1 0 0 0 0 0.1 0.2 0.1 0 0.6 0.6 0 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0 0 0 0.1 0.1 0.1 0.2 0.1 0 0
"primero" 0 0 0 0 0.1 0.1 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0.1 0.1 0 0 0 0
"salir" 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0.2 0.2 0 0 0.1 0.1 0 0.1 0.1 0.1 0.1 0 0 0 0 0.1 0.1 0 0 0
"sino" 0.2 0.1 0.2 0.2 0 0.2 0.3 0.1 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0.1 0.1 0.1 0.2 0.1 0 0 0.2 0.5 0.3 0.1 0.2
"tiempo" 0 0 0.1 0.1 0.1 0.1 0 0.1 0.1 0 0 0.1 0.1 0 0 0 0 0 0 0.1 0.1 0.1 0.1 0 0 0.1 0.2 0.1 0 0.1 0.1 0 0 0
"aquesta" 0 0 0 0.1 0.1 0 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.2 0.1 0 0 0.1
"aquesto" 0 0.1 0.1 0 0 0 0 0.1 0.2 0.1 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1
"empeño" 0 0 0 0 0 0 0 0 0 0 0.2 0.2 0 0.1 0.1 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0.1 0.1 0 0 0 0 0 0
"estas" 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0
"fineza" 0 0.1 0.1 0 0 0 0 0 0 0.1 0.2 0.1 0.2 0.2 0 0 0 0 0.1 0.2 0.2 0.1 0 0 0 0 0.1 0.1 0 0 0 0 0 0
"importa" 0 0 0 0 0 0 0 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0.1 0.1
"mano" 0 0 0 0 0 0 0 0 0 0.2 0.2 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"mía" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.2 0.1 0.1 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0.1 0.1 0.3
"preciso" 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.3 0.3 0.1 0 0.1 0.1 0 0 0 0 0 0 0 0
"supuesto" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0.1 0.3 0.3 0.1 0 0 0
"aqueste" 0.1 0 0 0.1 0.1 0 0.1 0.2 0.2 0.1 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0.1 0.2 0.3 0.2 0 0 0 0 0.2 0.2 0 0
"belleza" 0.1 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0
"conmigo" 0 0 0 0 0 0.1 0.2 0.2 0.1 0 0 0 0.1 0.3 0.2 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0 0.2 0.2 0 0 0 0.1 0.1
"hoy" 0.1 0.2 0.1 0 0 0 0 0 0 0 0 0.1 0.2 0.1 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0
"mira" 0 0 0 0 0 0 0 0 0.1 0.2 0.1 0 0.1 0.1 0 0 0 0 0 0 0.1 0.1 0.1 0.1 0 0 0 0 0 0 0.1 0.1 0 0
"ocasión" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.3 0.2 0.2 0.1 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0
"padre" 0.3 0.2 0 0.1 0.1 0.1 0.1 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0 0.1 0.1 0.1 0.3 0.2 0 0
"palacio" 0.1 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0.2 0.3 0.1 0 0 0 0 0.1 0.2 0.1 0.1 0.2 0.1 0 0.1 0.1 0.1 0.2 0.2 0.1
"pena" 0.2 0 0 0 0 0 0.2 0.3 0.1 0 0 0.1 0.1 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0.3 0.3
"riesgo" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0.2 0.2 0 0 0 0 0.4 0.5 0.2 0.1 0.2 0.3 0.1
"saber" 0 0.1 0.4 0.3 0.1 0.1 0 0.1 0.2 0.1 0 0 0.1 0.1 0 0 0.1 0.2 0.2 0.1 0 0 0 0.1 0.1 0 0.1 0.1 0 0 0 0 0 0
"todos" 0 0.1 0.1 0.2 0.4 0.3 0.1 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0.1 0.1 0 0 0.2 0.2 0 0 0 0 0 0 0 0.3 0.3
"tus" 0.2 0.2 0.3 0.3 0 0 0 0 0.1 0.2 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0.1 0.1 0.2
"vamos" 0 0 0 0 0 0 0 0 0 0.1 0.3 0.2 0 0 0 0.1 0.2 0.4 0.4 0.1 0 0.1 0.1 0.1 0.1 0 0 0.1 0.1 0.1 0.4 0.3 0 0
"vaya" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0.1 0.1 0 0 0 0 0 0 0 0 0
"vengo" 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0.2 0.2 0 0 0 0 0 0.1 0.3 0.2 0.1 0.1 0 0 0.1 0.2 0.1 0 0 0 0 0
"cierto" 0.1 0.1 0.1 0.2 0.1 0 0 0 0 0 0 0.2 0.2 0 0.1 0.1 0.1 0.1 0 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0.1 0.1 0 0
"cuidado" 0 0 0 0 0 0.1 0.2 0.3 0.2 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0
"eres" 0 0 0 0 0 0 0.1 0.1 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0 0 0.1 0.1 0.4 0.4 0 0
"esperanza" 0 0.1 0.5 0.4 0 0 0.1 0.1 0 0.1 0.1 0 0 0 0 0.1 0.8 0.8 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1
"esposa" 0 0 0 0 0.1 0.2 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"galán" 0 0 0 0 0 0 0 0 0.1 0.1 0 0.1 0.3 0.3 0.1 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0
"hace" 0.1 0.1 0 0 0 0 0 0 0.1 0.1 0 0 0.1 0.3 0.5 0.3 0 0 0.1 0.2 0.1 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0
"nada" 0 0.1 0.2 0.1 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.3
"visto" 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0.2 0.2 0.1 0.1 0 0.1 0.3 0.2 0 0 0 0 0 0 0.1
"cosas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0 0
"dicho" 0 0 0 0.1 0.1 0.2 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.2 0.1 0 0.1 0.1 0 0 0 0 0 0 0 0
"estar" 0 0 0.1 0.2 0.1 0 0 0.1 0.1 0.1 0.1 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0.2 0.3 0.1 0.1 0.1 0 0 0 0
"habéis" 0 0 0 0 0 0 0 0.2 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.2 0 0 0 0 0 0 0 0
"nunca" 0.2 0.3 0.2 0.1 0 0.1 0.2 0.2 0.1 0 0 0 0.1 0.1 0 0.2 0.3 0.2 0.1 0 0 0 0.1 0.1 0 0.1 0.1 0 0 0.1 0.1 0 0 0
"poco" 0 0.2 0.2 0.1 0.1 0 0 0 0 0 0 0 0 0.2 0.2 0.2 0.2 0 0.2 0.3 0.3 0.3 0.1 0 0 0 0 0 0 0 0 0 0 0
"pudiera" 0.1 0.2 0.3 0.3 0.1 0.1 0.2 0.1 0 0 0 0.1 0.2 0.1 0 0 0 0 0 0 0 0 0 0.1 0.2 0.1 0.1 0.1 0 0 0 0 0.1 0.1
"puerta" 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0.2 0.2 0 0 0 0 0 0 0.1 0.2 0.2 0.1 0 0
"puesto" 0 0 0 0.1 0.1 0 0 0.1 0.2 0.1 0.2 0.2 0 0 0 0 0 0 0.1 0.1 0 0 0.1 0.1 0 0.1 0.1 0 0 0 0 0 0 0
"sido" 0 0 0.1 0.1 0 0.2 0.2 0 0.1 0.2 0.1 0 0 0.1 0.1 0 0.2 0.2 0 0.1 0.4 0.5 0.2 0 0.2 0.2 0 0 0 0 0 0 0 0
"aquel" 0 0 0 0.1 0.3 0.3 0.2 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0.1 0.1 0 0 0 0.1 0.1 0.1 0.1 0
"beldad" 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0
"daño" 0 0 0 0 0 0 0.1 0.1 0.1 0.1 0.1 0.1 0 0 0 0 0.1 0.1 0.2 0.3 0.2 0.1 0 0 0 0 0.1 0.1 0 0 0 0 0 0
"decir" 0 0 0.1 0.4 0.4 0.1 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.2 0 0 0 0 0.2 0.2 0
"decís" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.2 0 0 0 0 0 0 0 0 0 0 0 0
"dio" 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0.1 0.1 0.1 0.1 0 0 0.2
"estado" 0 0 0 0 0 0 0 0 0.1 0.1 0.2 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0.1 0.1 0 0
"hermosa" 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0.1 0.3 0.3 0.1 0.1 0.1 0 0
"miro" 0 0 0 0 0 0 0 0 0 0 0.1 0.2 0.2 0.2 0.1 0 0 0 0.1 0.1 0 0.2 0.2 0 0.2 0.2 0 0 0.1 0.1 0 0 0.1 0.1
"penas" 0 0.1 0.1 0 0 0 0.1 0.1 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1
"queda" 0 0.1 0.1 0 0 0 0.3 0.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.2 0.3 0.4 0.2 0.2 0.3 0.1 0 0 0 0
"respeto" 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0.1 0.1 0 0 0 0 0 0.1 0.1 0 0 0 0
"también" 0 0.1 0.2 0.1 0.3 0.3 0 0.3 0.3 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0.2
"ti" 0 0.1 0.1 0 0 0 0 0 0.2 0.5 0.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0
"alma" 0.2 0.2 0.3 0.2 0.1 0.1 0 0.2 0.2 0.1 0.1 0 0 0 0 0 0 0.2 0.2 0.1 0.1 0 0 0 0 0 0.4 0.6 0.3 0.1 0 0 0.1 0.2
"bueno" 0 0 0 0.1 0.1 0 0 0 0 0 0.1 0.1 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cosa" 0 0 0.3 0.3 0 0 0 0 0 0.2 0.2 0 0 0 0 0 0 0 0 0 0.1 0.1 0.1 0.1 0 0 0.1 0.3 0.2 0 0 0 0 0.1
"deseo" 0 0 0 0 0.1 0.1 0 0 0.1 0.1 0 0 0 0 0 0.1 0.9 0.9 0.2 0.1 0 0 0 0 0.1 0.1 0.1 0.1 0 0 0 0 0 0
"dueño" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"falta" 0.2 0.3 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0.1 0.1 0 0
"fedra" 0.2 0.1 0.1 0 0 0 0.1 0.1 0.2 0.4 0.4 0.3 0.5 0.5 0.4 0.6 0.3 0 0.2 0.4 0.7 0.6 0.4 0.6 0.3 0 0.1 0.2 0.2 0.3 1.3 1.2 0.4 0.6
"hecho" 0 0 0 0 0.1 0.1 0 0 0 0.1 0.1 0 0 0.1 0.2 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1
"hombre" 0 0 0 0.1 0.1 0.1 0.2 0.1 0 0 0 0 0 0.2 0.3 0.1 0 0 0 0 0.1 0.1 0.1 0.1 0.3 0.4 0.1 0 0.1 0.3 0.3 0.1 0 0
"ir" 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0.4 0.4 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0.1 0.2 0.2 0.1 0 0
"modo" 0 0 0 0 0 0.1 0.2 0.1 0 0 0.1 0.2 0.1 0 0 0 0.1 0.2 0.1 0 0 0.1 0.1 0.1 0.2 0.1 0 0 0 0 0 0 0 0
"válgame" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0.1 0.3 0.2 0 0
"venid" 0 0 0 0 0 0.2 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0
"verdad" 0.1 0 0 0.1 0.1 0 0 0 0 0 0.1 0.2 0.1 0 0 0 0 0 0.1 0.1 0 0 0.1 0.1 0 0.3 0.3 0.1 0.1 0 0 0 0 0
"atento" 0 0 0 0 0 0 0 0 0.1 0.1 0 0 0 0.1 0.1 0.1 0.1 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0 0
"cuatro" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.2 0 0 0 0 0.1 0.1 0 0 0 0 0 0 0 0 0 0
